t,x,y,dance_movement,Predictions
0,1438,675,0,-1
2,1440,693,0,-1
5,1444,736,0,-1
7,1458,789,0,0
10,1469,815,0,0
12,1435,827,0,0
14,1427,826,0,0
17,1388,809,0,0
19,1397,796,1,0
22,1335,768,1,0
24,1343,758,1,0
26,1354,737,1,0
29,1401,758,1,0
31,1402,755,1,0
34,1406,721,1,0
36,1419,697,1,0
38,1448,693,0,0
41,1469,698,0,0
43,1463,682,0,0
46,1451,649,0,0
48,1445,624,0,0
50,1420,601,0,0
53,1401,608,0,0
55,1363,611,0,0
58,1309,598,0,0
60,1277,599,0,0
62,1258,625,0,0
65,1235,641,0,0
67,1221,678,0,0
70,1210,746,0,0
72,1233,749,1,0
74,1246,745,1,0
77,1259,774,1,0
79,1271,769,1,0
82,1282,732,1,0
84,1297,730,1,0
86,1309,728,1,0
89,1329,735,1,0
91,1343,680,0,0
94,1363,676,0,0
96,1402,661,0,0
98,1422,659,0,0
101,1465,685,0,0
103,1492,696,0,0
106,1498,746,0,0
108,1496,784,0,0
110,1472,791,0,0
113,1435,809,0,0
115,1397,826,0,0
118,1372,818,0,0
120,1330,822,1,1
122,1346,808,1,1
125,1345,808,1,1
127,1351,781,1,1
130,1316,750,1,1
132,1344,758,1,1
134,1373,742,1,1
137,1377,731,0,0
139,1415,744,0,0
142,1427,731,0,0
144,1447,706,0,0
146,1453,672,0,0
149,1442,636,0,0
151,1410,599,0,0
154,1401,606,0,0
156,1374,608,0,0
158,1355,613,0,0
161,1302,633,0,0
163,1276,663,0,0
166,1261,707,0,0
168,1252,774,0,0
170,1255,781,0,0
173,1273,783,1,1
175,1289,793,1,1
178,1262,752,1,1
180,1280,752,1,1
182,1284,727,1,1
185,1324,754,1,1
187,1333,754,1,1
190,1298,686,1,1
192,1317,670,1,1
194,1310,662,0,0
197,1320,647,0,0
199,1321,643,0,0
202,1343,640,0,0
204,1377,649,0,0
206,1415,665,0,0
209,1400,698,0,0
211,1414,721,0,0
214,1425,775,0,0
216,1433,829,0,0
218,1424,865,0,0
221,1421,869,0,0
223,1402,870,0,0
226,1367,852,0,0
228,1375,841,0,0
230,1376,831,0,0
233,1327,809,1,0
235,1344,793,1,1
238,1377,785,1,1
240,1378,797,1,1
242,1393,772,1,1
245,1390,719,1,1
247,1425,733,0,0
250,1455,735,0,0
252,1452,733,0,0
254,1428,693,0,0
257,1420,668,0,0
259,1404,630,0,0
262,1391,634,0,0
264,1348,638,0,0
266,1320,639,0,0
269,1258,639,0,0
271,1237,653,0,0
274,1204,678,0,0
276,1196,713,0,0
278,1200,722,0,1
281,1210,786,1,1
283,1215,747,1,1
286,1235,814,1,1
288,1254,804,1,-1
290,1265,802,1,-1
293,1257,728,1,-1
